Jahr;Monat/Jahresdurchschnitt;Luftdruck (mittl. Wert auf NN reduziert) hPa;Luftdruck (langjähriger Durchschnitt) hPa;Lufttemperatur (Mittelwert) oC;Lufttemperatur (langjähriger Durchschnitt) oC;Lufttemperatur (Höchstwert) oC;Tagesdatum des Höchstwertes (der Lufttemperatur);Lufttemperatur (Tiefstwert) oC;Tagesdatum des Tiefstwertes (der Lufttemperatur);Sommertage (max. 25 oC bis unter 30 oC);Heiße Tage (max. 30 oC und mehr);Frosttage (min. unter 0 oC);Eistage (max. unter 0 oC);Sonnenscheindauer h;Sonnenscheindauer (langjähriger Durchschnitt) h;Luftfeuchtigkeit (relative Feuchte) %;Luftfeuchtigkeit (relative Feuchte, langjähriger Durchschnitt)  %;Niederschläge  mm;Niederschläge (langjähriger Durchschnitt) mm;Niederschläge (Höchstwert in 24 Std.) mm;Tagesdatum des Höchstwertes (der Niederschläge);Tage mit Regen;Tage mit Schneefall;Tage mit Regen und Schneefall;Tage mit einer Schneedecke (mind. 50% des Bodens schneebedeckt);Tage mit Hagel/Graupel;Tage mit Nebel;Tage mit Gewitter
1974;Jahresdurchschnitt;0;1017;11;11;36;;-3;;34;7;15;0;1529;1740;0;73;992;955;43;;168;0;17;2;6;25;31
1975;Jahresdurchschnitt;0;1017;11;11;33;;-10;;45;11;50;4;1677;1740;0;73;999;955;42;;137;1;21;14;6;51;25
1976;Jahresdurchschnitt;0;1017;11;11;35;;-14;;58;18;58;15;1948;1740;0;73;720;955;29;;146;12;19;30;8;45;32
1977;Jahresdurchschnitt;0;1017;11;11;30;;-8;;29;1;40;4;1601;1740;74;73;970;955;35;;155;7;29;11;12;41;30
1978;Jahresdurchschnitt;0;1017;10;11;31;;-8;;32;2;50;14;1666;1740;74;73;1035;955;65;;138;9;29;36;10;40;28
1979;Jahresdurchschnitt;0;1017;11;11;33;;-13;;21;6;50;11;1654;1740;74;73;1024;955;49;;164;15;23;35;12;40;33
1980;Jahresdurchschnitt;0;1017;10;11;33;;-10;;34;2;65;12;1458;1740;72;73;949;955;38;;150;10;19;15;17;45;22
1981;Jahresdurchschnitt;0;1017;11;11;31;;-10;;39;4;62;11;1529;1740;72;73;1112;955;42;;157;14;37;29;20;28;32
1982;Jahresdurchschnitt;0;1017;11;11;32;;-10;;65;12;45;14;1692;1740;71;73;1131;955;58;;150;5;22;31;10;48;35
1983;Jahresdurchschnitt;0;1017;11;11;36;;-7;;65;20;60;10;1738;1740;71;73;944;955;60;;158;10;19;29;8;42;41
1984;Jahresdurchschnitt;0;1017;10;11;37;;-7;;45;10;49;2;1615;1740;72;73;978;955;36;;170;12;30;17;1;46;25
1985;Jahresdurchschnitt;0;1017;10;11;37;;-17;;60;8;68;29;1801;1740;68;73;791;955;29;;157;33;15;54;19;37;33
1986;Jahresdurchschnitt;0;1017;11;11;36;;-13;;59;15;67;23;1737;1740;72;73;1067;955;34;;160;35;29;58;21;39;40
1987;Jahresdurchschnitt;0;1017;10;11;33;;-17;;47;8;72;27;1676;1740;74;73;1038;955;42;;185;24;22;52;12;44;31
1988;Jahresdurchschnitt;0;1017;12;11;35;;-7;;58;12;38;2;1699;1740;73;73;1039;955;31;;195;13;27;21;16;44;35
1989;Jahresdurchschnitt;0;1017;12;11;35;;-8;;73;11;58;19;1997;1740;70;73;823;955;34;;168;12;8;13;6;57;26
1990;Jahresdurchschnitt;0;1017;12;11;35;;-6;;60;15;40;7;2065;1740;68;73;838;955;30;;177;13;24;22;11;29;29
1991;Jahresdurchschnitt;0;1017;11;11;35;;-13;;72;17;57;15;1986;1740;70;73;737;955;45;;149;20;17;15;15;40;28
1992;Jahresdurchschnitt;0;1017;12;11;36;;-8;;66;22;39;10;1789;1740;70;73;824;955;32;;155;7;18;9;9;38;27
1993;Jahresdurchschnitt;0;1017;11;11;34;;-11;;53;10;49;17;1680;1740;71;73;757;995;31;;169;14;23;23;19;27;42
1994;Jahresdurchschnitt;0;1017;13;11;36;;-6;;65;26;27;2;1689;1740;73;73;977;995;80;;187;6;17;5;14;30;46
1995;Jahresdurchschnitt;0;1017;12;11;36;;-10;;60;25;49;12;1613;1740;72;73;1114;955;46;;186;13;33;30;19;31;32
1996;Jahresdurchschnitt;1016;1017;10;11;32;;-14;;52;11;73;17;1764;1740;72;73;933;955;49;;158;32;0;23;0;0;28
1997;Jahresdurchschnitt;1019;1017;12;11;34;;-14;;74;15;47;15;1957;1740;70;73;829;955;34;;156;16;0;27;0;0;37
1998;Jahresdurchschnitt;1018;1017;12;11;38;;-8;;61;22;52;7;1829;1740;67;73;857;955;35;;173;23;0;14;0;0;27
1999;Januar;1019;1019;5;2;18;;-6;;0;0;9;2;90;52;72;81;64;60;23;;10;3;6;3;2;3;0
1999;Februar;1019;1017;2;3;15;;-11;;0;0;14;3;56;82;79;77;79;54;19;;7;8;9;8;6;3;1
1999;März;1014;1016;8;7;21;;0;;0;0;0;0;111;123;72;70;59;64;13;;18;0;2;0;3;1;1
1999;April;1015;1014;11;10;23;;2;;0;0;0;0;137;159;68;66;103;81;29;;22;0;0;0;1;1;6
1999;Mai;1016;1015;17;14;32;;15;;0;0;0;0;189;198;69;67;101;106;21;;21;0;0;0;0;1;5
1999;Juni;1019;1016;18;18;31;;9;;10;2;0;0;222;223;65;66;118;117;21;;20;0;0;0;1;1;6
1999;Juli;1016;1017;21;20;34;;11;;20;7;0;0;246;252;65;65;115;96;28;;19;0;0;0;0;1;9
1999;August;1015;1016;20;19;31;;11;;15;4;0;0;207;228;67;68;87;102;19;;21;0;0;0;1;2;8
1999;September;1013;1018;19;16;31;;12;;14;3;0;0;198;179;67;72;72;71;19;;17;0;0;0;0;0;2
1999;Oktober;1019;1018;11;11;22;;1;;0;0;0;0;124;122;77;79;82;66;23;;14;0;0;0;1;8;1
1999;November;1023;1018;5;6;20;;-6;;0;0;8;0;77;69;77;80;66;73;24;;12;3;3;5;1;2;0
1999;Dezember;1016;1019;5;3;14;;-5;;0;0;8;0;42;53;75;81;108;66;18;;14;3;3;9;0;1;0
1999;Jahresdurchschnitt;1017;1017;12;11;34;;-11;;59;16;39;5;1699;1740;71;73;1054;955;29;;195;17;23;25;16;24;39
2000;Januar;1027;1019;3;2;12;;-9;;0;0;10;2;74;52;77;81;30;60;10;;11;3;7;0;1;3;0
2000;Februar;1024;1017;7;3;19;;-2;;0;0;3;0;80;82;70;77;94;54;18;;16;0;5;2;3;0;0
2000;März;1022;1016;8;7;20;;-1;;0;0;2;0;120;123;64;70;54;64;11;;19;0;5;0;2;0;0
2000;April;1009;1014;12;10;29;;0;;3;0;0;0;172;159;63;66;50;81;14;;19;0;0;0;0;0;0
2000;Mai;1016;1015;17;14;30;;8;;10;1;0;0;216;198;64;67;115;106;48;;25;0;0;0;1;2;11
2000;Juni;1020;1016;20;18;34;;9;;17;8;0;0;295;223;57;66;23;117;10;;14;0;0;0;0;0;6
2000;Juli;1014;1017;18;20;32;;10;;12;1;0;0;202;252;67;65;180;96;26;;23;0;0;0;0;0;11
2000;August;1018;1016;21;19;33;;13;;17;9;0;0;247;228;66;68;82;102;18;;17;0;0;0;0;0;9
2000;September;1016;1018;17;16;27;;10;;7;0;0;0;196;179;72;72;73;71;23;;17;0;0;0;0;1;0
2000;Oktober;1016;1018;13;11;21;;4;;0;0;0;0;90;122;75;79;76;66;20;;25;0;0;0;0;5;0
